V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24 V25 V26 V27 V28 V29 V30 V31 V32 V33 V34 V35 V36 V37 V38 V39 V40 V41 V42 V43 V44 V45 V46 V47 V48 V49 V50 V51 V52 V53 V54 V55 V56 V57 V58 V59 V60 V61 V62 V63 V64 V65 V66 V67 V68 V69 V70 V71 V72 V73 V74 V75 V76 V77 V78 V79 V80 V81 V82 V83 V84 V85 V86 V87 V88 V89 V90 V91 V92 V93 V94 V95 V96 V97 V98 V99 V100
11 -0.33936386 0.418408463 -0.052138243 -0.260333915 0.006705353 -0.010980043 0.004986778 0.011627845 -0.004177404 0.009906531 0.04756218 0.046167703 0.007547982 0.002907563 -0.006661494 -0.026353631 -0.013349106 0.003592764 0.009194171 -0.019822217 0.002509268 0.008239969 0.037101173 -0.012179284 0.001409457 0.005264649 -0.000723619 -0.008569399 0.005146501 -0.006117169 0.002786295 0.004528999 -0.008879243 -0.040042346 -0.008219275 -0.001741763 -0.010068146 -0.015905799 0.01228434 -0.000921843 -0.019982172 -0.025554427 -0.004746792 0.005136181 -0.012155593 0.03799613 -0.005357807 -0.004391909 -0.003015496 0.013450157 -0.004256286 0.017686234 -0.00691281 -0.017024868 0.031866944 0.005535493 0.003079489 -0.007385045 -0.005464129 -0.004025906 -0.002612257 -0.017580652 0.011688697 -0.01666929 0.025754706 -0.006460977 -0.001903613 0.010650775 0.007493738 -0.028717686 0.016972753 0.012645376 -0.004500897 -0.014634217 -0.015686202 0.025712527 0.012591909 0.018116263 0.009381359 -0.010823531 0.01800241 -0.011541523 -0.00819784 0.010841666 0.00540492 0.020316325 0.027529377 0.018425755 -0.0265935 0.01453366 0.008126131 0.014109864 -0.000582796 -0.006765707 0.016436019 0.009515814 -0.018398462 0.00107689 0.019693683 -0.018583819
12 -0.352533987 0.439257444 -0.077689541 -0.260235013 0.012358883 -0.009055271 0.014607024 -0.008104561 -0.005780791 0.020683583 0.032773593 0.034362301 0.00512403 0.006791895 -0.014035936 -0.00566676 0.003891175 0.00862873 -0.006182633 0.005255215 0.006701158 -0.018852709 0.012774835 -0.007352488 -0.007117121 -0.012686517 0.010176131 -0.016157407 -0.008312482 0.014850654 0.009932633 0.012047165 0.022152141 0.026020861 0.006838818 0.000544155 -0.01545286 -0.009546507 -0.006101677 0.00936859 0.009708201 0.006786515 0.011343052 -0.005326435 -0.037453219 -0.018619303 -0.031173658 -0.018650694 -0.02668807 -0.000141838 0.016959144 0.015020154 0.025309119 0.006867049 0.000290652 -0.030963714 0.009936152 -0.009033682 0.024606722 0.00320856 0.007042496 0.007752512 0.010938804 0.026939702 0.011959957 0.001352231 0.011639681 -0.001884517 0.020364387 -0.013147732 -0.002773406 0.01050403 0.000257386 -0.018945542 -0.008213044 -0.008224479 -0.036531177 0.02638572 -0.021925322 0.009616737 -0.003418641 -3.889e-06 0.008822935 -0.010897803 0.005550818 0.004895425 -0.056099298 0.003757614 -0.032386163 -0.017432889 -0.010412984 -0.028906434 -0.002692876 -0.018555397 -0.022826352 0.002765735 -0.030830721 -0.010124751 0.015249891 -3.7402e-05
13 -0.368442596 0.433028835 -0.061405278 -0.287990651 0.011671894 -0.029125758 -0.004138102 -0.007943278 -0.009795682 0.022581185 0.042304122 0.09446742 0.055534381 -0.015237886 0.010161527 0.004268043 -0.007794941 -0.000753492 0.005863629 0.00617169 -0.020490462 0.005968827 0.013351746 -0.005662964 -0.01947141 0.013879041 0.004004341 -0.00243225 0.000854106 -0.019224585 0.017670649 -0.025345335 -0.011900883 0.011425046 -0.02467541 -0.002571104 -0.00237461 -0.006074533 0.00918209 0.007051726 -0.004757806 0.016680248 -0.014961857 -0.017016543 0.005175631 0.003025526 0.026646392 0.003375797 -0.013507013 0.001020078 -0.011496561 -0.010426104 -0.026989295 -0.001830615 0.014400658 0.052869648 -2.721e-06 -0.006854187 0.00961092 -0.022739319 -0.013364712 0.001473258 0.005649677 -0.011271011 -0.003962825 -0.041789012 0.00413943 0.031294087 0.008274106 -0.011671566 0.003394431 0.000990799 0.006463451 -0.011146388 0.004890444 -0.023670645 -0.012870218 0.001324286 -0.008616481 0.000232896 -0.006761728 0.008130984 -0.036798168 -0.012648536 -0.003647718 -0.010458859 -0.004983303 0.018529289 0.012228957 -0.010033125 -0.001623842 0.031233697 -0.024221476 0.040046305 -0.020228086 -0.031320119 -0.001947138 -0.010876612 0.019520991 -0.045176342
14 -0.353193772 0.427492186 -0.061958679 -0.278689897 0.020289098 -0.024424097 0.008779871 -0.014717872 -0.012635959 0.018747984 0.041031614 0.081839017 0.051179521 0.019525083 0.012995437 -0.01918025 0.019955293 -0.007178456 -0.003826114 -0.026776187 0.01855712 0.000108309 0.00516242 0.023684361 0.017540891 -0.00066062 -0.01782232 0.027449794 0.016611195 0.009671703 0.02384508 -0.001877581 0.007909655 -0.008715914 0.002073483 -0.010030376 -0.022275248 0.003139561 0.000535249 0.00379429 -0.00133064 0.012473156 0.009222114 0.016756552 0.042921087 0.021351201 0.009058978 -0.042282352 -0.022042376 -0.0113968 0.023901658 0.014257912 -0.014951633 0.015047093 0.008124655 -0.012030695 -0.004444728 0.025526331 0.024766122 0.018864356 -0.013721791 0.012327434 -0.011369182 0.009142044 0.017261084 0.053732128 0.01265864 -0.005218579 0.016180276 -0.013486841 0.026135575 0.007346037 0.010050532 0.023564772 0.011657433 0.007038568 0.003815754 0.026293139 0.015025254 -0.021434034 0.037109163 -0.018308539 -0.003447053 -0.015143719 -0.005278358 0.003568582 0.006054914 -0.01261864 -0.035729588 0.011867264 -0.005322692 0.025445239 -0.010799442 -0.015410125 0.001936618 -0.019198575 0.014344882 -0.018154153 0.004004634 -0.003592427
15 -0.349541528 0.436270209 -0.070966189 -0.260471915 0.017067705 -0.028842773 0.01693276 0.000189494 -0.016585613 0.024933002 0.024022294 0.024908593 0.001257866 0.013348772 0.002413064 -0.002390502 -0.001413416 -0.005795629 -0.016032983 -0.018949556 0.002248071 -0.022688721 0.000270324 -0.017771229 -0.036977966 0.036089391 -0.004601015 0.002382041 -0.018459891 -0.014674516 -0.003213254 0.008150342 -0.051628345 -0.006246756 -0.035849378 0.003749866 0.02014183 -0.016413386 0.003495108 -0.021601901 0.009567851 -0.023746102 -0.007937036 -0.013460047 -0.025760119 -0.057587754 -0.000774301 -0.016535271 0.009906465 0.011996912 -0.009257939 -0.013715546 0.052511723 -0.01630808 -0.026633694 0.007450844 4.7771e-05 0.003450057 -0.001231811 -0.005525011 -0.02106876 -0.010006595 0.00977659 0.017414447 -0.000931475 0.006585181 -0.029439385 -0.040829734 -0.015279115 0.048212882 0.01079153 -0.023321762 -0.016267809 0.017212032 0.030195036 0.002829313 0.039307013 0.01564514 0.002745561 -0.000213138 -0.015488188 0.035922284 0.002923725 0.035518521 -0.020888975 -0.000894234 0.008768065 0.009056406 0.007517982 -0.01176412 -0.008497898 -0.001485896 0.014984624 0.016879937 -0.035830894 0.00564094 0.013781973 -0.011607608 0.03089608 0.031500308
16 -0.346735784 0.420284727 -0.045522619 -0.271293745 0.017543336 -0.032836567 -0.003335888 -0.001462045 -0.014498677 0.021299683 0.051833485 0.092398672 0.029785269 -0.002169194 0.004191145 -0.001877462 0.020492552 0.016734175 0.013182032 -0.014448107 -0.003070511 -0.005736754 -0.014072823 -0.001379893 -0.002560174 -0.000224163 0.002350134 -0.004238936 -0.0115234 -0.000501273 0.002162716 -0.005555685 0.007969901 0.010411498 0.002287467 0.02930925 0.001627524 0.026522257 -0.002823756 -0.010982514 0.028020927 0.005141839 -0.0155133 0.028390393 -0.026999728 -0.020552886 -0.007093969 -0.01035216 -0.007794025 -0.001320872 0.005807951 -0.024048436 -0.005428691 -0.00878971 0.004038032 -0.013029932 0.003388772 0.00098347 0.004329234 0.025550847 -0.013350984 0.002151692 4.3153e-05 -0.003449087 0.00186472 0.031212715 0.026580448 -0.005050035 -0.002769068 -0.010145973 0.019734104 0.014515346 -0.032652443 0.032224096 -0.005345838 -0.002248955 0.029307146 -0.019233941 -0.012926993 -0.012916376 -0.011546817 0.044961527 0.028907357 -0.017443006 -0.007293204 0.010331717 -0.000620694 0.000270613 0.030549464 -0.022888018 0.021372883 -0.031046619 0.019730434 -0.013572821 0.024112118 -0.006198521 0.000561574 0.028758706 0.014437516 -0.001112229
17 -0.352342246 0.42804883 -0.067586303 -0.275941706 0.012208034 -0.024345039 0.006272626 -0.000393788 -0.008708914 0.026549704 0.04491731 0.053729246 0.029893246 0.004978153 -0.000523042 0.01236032 -0.018599458 -0.006073865 0.015292761 0.033717985 0.013450907 -0.012050414 0.008517377 -0.006339606 -0.00385041 -0.000926031 0.076707685 -0.030262547 0.013667325 0.006853803 -0.001657306 0.007385213 0.023351449 0.004128497 0.023400454 -0.010200342 0.002627228 -0.02354367 0.004113459 -0.015193184 0.014639406 -0.004271772 -0.005127435 -0.015441003 -0.007980128 -0.058095535 -0.000689076 0.028350376 0.003575998 0.021728577 -0.01151426 0.024998398 0.003125873 -0.012152939 0.020692421 0.0111417 -0.006698137 -0.001016682 0.009294536 0.004226565 -0.013977067 0.024044331 -0.006234839 0.030271212 -0.016324821 0.016911069 0.009883144 -0.002697964 -0.021542511 -0.00298409 0.007855919 0.001358539 -0.020311391 0.019609388 -0.022240596 -0.012178569 -0.016770239 0.014467838 0.0060467 -0.02194238 0.009666133 0.006317287 -0.000285093 0.002009153 0.000370626 0.021210832 -0.027890784 -0.009457383 0.006108492 0.027287134 0.006684727 0.003586422 0.038373465 -0.01881658 -0.021626606 -0.007857783 0.013022854 -0.021414368 -0.028094625 -0.000681541
18 -0.344124037 0.423331699 -0.038381959 -0.261468322 -0.003037158 -0.010553948 -0.00338214 0.003892614 -0.013774382 0.021866594 0.038763225 0.0676763 0.013065847 0.008426865 -0.007291807 -0.010891393 0.010354782 -0.012340587 0.01353185 -0.005958426 0.009322303 0.015508389 -0.012943106 -0.003341931 0.001547877 -0.017144662 0.013891077 0.011470054 0.002466881 0.001333719 0.003936519 0.002286705 0.010705749 0.023894512 0.02093948 -0.003876442 0.019433938 0.000786967 -0.008868557 -0.010786232 -0.00890663 0.033244313 0.008948343 0.01721251 0.019809133 -0.01733929 0.018626417 0.004870058 0.017165031 -0.010554947 0.004726432 0.029101836 -0.003998667 0.021453772 0.007220991 0.012836964 0.013872212 -0.005185567 0.012020103 -0.008037616 -0.000466464 0.034014019 -0.022914802 0.009423988 -0.004370815 -0.029100783 0.000965237 -0.016937828 -0.013335894 0.012106132 0.012045191 -0.040595935 -0.004723242 -0.009255618 -0.0069022 -0.014018428 -0.033085026 -0.021983729 -0.01400563 0.011183271 0.017999633 0.008497732 0.004515788 0.011942652 0.035518016 -0.015676153 -0.011769397 0.034302159 0.0146306 0.002482904 0.007333744 -0.007256108 0.007919061 0.003333234 0.027620889 -0.029307144 0.004518727 -0.02905149 -0.010615586 -0.032658455
19 -0.343206821 0.428574016 -0.040202185 -0.268528875 0.009647674 -0.041418115 -0.007415578 0.00857256 -0.030366324 0.022000937 0.042548739 0.05375783 0.026850335 0.01925814 -0.003914438 0.009690333 0.017623346 0.007879498 0.010345354 -0.00186043 0.011488256 -0.002227963 0.018036628 0.017116445 0.003596061 0.000820498 0.019559926 0.010292009 0.005957611 0.034489032 0.022728987 0.02316223 0.018802281 -0.019417483 0.028499624 -0.003831022 0.023700892 -0.008488676 -0.019346058 0.00534492 0.003802266 -0.01473613 0.021369986 -0.015732925 0.004157563 -0.022575166 0.02239984 -0.013096721 -0.016232578 0.026166741 0.000415135 0.011825583 0.003929055 -0.027521001 0.000326836 0.011700007 -0.014914158 -0.011747935 0.026805072 -0.007632341 -0.003356587 0.022884266 -0.01900549 -0.021771174 -0.008351719 -0.001115675 0.004634477 -0.001734929 -0.002244305 0.028615652 0.006892234 0.010659721 -0.007100134 -0.015258257 -0.020061956 -0.005807177 -0.001550445 -0.016026524 -0.001364785 0.009171781 -0.016543681 0.006418859 0.020073088 0.011944327 0.01831761 0.002882172 -0.023214358 0.001068454 0.001454808 0.018336817 0.006211608 -0.009546004 -0.007269095 0.007266641 0.010777754 -0.016233262 0.011269334 0.010783094 0.036894068 0.014911285
20 -0.361876406 0.422940084 -0.069906551 -0.256803342 -0.00929715 -0.03380821 -0.006214781 -0.001716288 -0.014956968 0.008429662 0.018200318 0.03151774 -0.009543784 0.010636141 -0.021384769 -0.001666999 -0.007994094 0.000177405 0.021497765 -0.005430674 -0.013605667 0.001124608 -0.005927886 0.01539845 0.005054515 -0.0003067 -0.02040655 -0.005450729 -0.00838341 -0.008384063 0.007098331 0.001064771 -0.001625535 -0.01990972 0.011068127 -0.001533755 0.015767932 -0.014439384 -0.037191589 -0.018826425 0.022503197 0.01057862 -0.003336351 0.006438425 0.024873887 0.016504233 0.00828757 0.015827075 0.00799836 0.018375426 0.000313019 -0.043107238 -0.012932388 -0.010928007 0.013266626 -0.0021641 0.011667118 -0.005362165 0.023663934 -0.033502301 0.027902013 0.042073618 -0.010011966 -0.014189998 -0.014531763 0.003955748 0.028262333 0.03861086 -0.000728482 -0.000227692 -0.005494895 -0.028483234 0.026860762 -0.009666729 -0.008162527 0.021050773 -0.010924818 0.006595478 0.025714088 0.037741983 -0.010709216 0.006146934 0.020202394 -0.010438017 -0.001466797 -0.017594336 0.012395263 0.003529916 -0.022055325 0.012819338 0.019941334 0.025553665 -0.038763936 0.033922672 -0.000346678 -0.003654833 -0.03553997 -0.009259845 -0.022136937 0.010520736
