"Protocol" "Study" "CellType"
"216" "MARS-seq" "GSE72857" "CMP"
"217" "MARS-seq" "GSE72857" "GMP"
"218" "MARS-seq" "GSE72857" "MEP"
"219" "MARS-seq" "GSE72857" "MEP"
"220" "MARS-seq" "GSE72857" "GMP"
"221" "MARS-seq" "GSE72857" "GMP"
"222" "MARS-seq" "GSE72857" "MEP"
"223" "MARS-seq" "GSE72857" "GMP"
"224" "MARS-seq" "GSE72857" "GMP"
"225" "MARS-seq" "GSE72857" "MEP"
"226" "MARS-seq" "GSE72857" "GMP"
"227" "MARS-seq" "GSE72857" "GMP"
"228" "MARS-seq" "GSE72857" "GMP"
"229" "MARS-seq" "GSE72857" "GMP"
"230" "MARS-seq" "GSE72857" "MEP"
"231" "MARS-seq" "GSE72857" "MEP"
"232" "MARS-seq" "GSE72857" "GMP"
"233" "MARS-seq" "GSE72857" "MEP"
"234" "MARS-seq" "GSE72857" "MEP"
"235" "MARS-seq" "GSE72857" "GMP"
"236" "MARS-seq" "GSE72857" "GMP"
"237" "MARS-seq" "GSE72857" "MEP"
"238" "MARS-seq" "GSE72857" "GMP"
"239" "MARS-seq" "GSE72857" "GMP"
"240" "MARS-seq" "GSE72857" "MEP"
"241" "MARS-seq" "GSE72857" "MEP"
"242" "MARS-seq" "GSE72857" "MEP"
"243" "MARS-seq" "GSE72857" "GMP"
"244" "MARS-seq" "GSE72857" "MEP"
"245" "MARS-seq" "GSE72857" "GMP"
"246" "MARS-seq" "GSE72857" "GMP"
"247" "MARS-seq" "GSE72857" "GMP"
"248" "MARS-seq" "GSE72857" "CMP"
"249" "MARS-seq" "GSE72857" "GMP"
"250" "MARS-seq" "GSE72857" "GMP"
"251" "MARS-seq" "GSE72857" "GMP"
"252" "MARS-seq" "GSE72857" "MEP"
"253" "MARS-seq" "GSE72857" "MEP"
"254" "MARS-seq" "GSE72857" "MEP"
"255" "MARS-seq" "GSE72857" "GMP"
"256" "MARS-seq" "GSE72857" "MEP"
"257" "MARS-seq" "GSE72857" "GMP"
"258" "MARS-seq" "GSE72857" "MEP"
"259" "MARS-seq" "GSE72857" "MEP"
"260" "MARS-seq" "GSE72857" "GMP"
"261" "MARS-seq" "GSE72857" "GMP"
"262" "MARS-seq" "GSE72857" "MEP"
"263" "MARS-seq" "GSE72857" "CMP"
"264" "MARS-seq" "GSE72857" "MEP"
"265" "MARS-seq" "GSE72857" "GMP"
"266" "MARS-seq" "GSE72857" "MEP"
"267" "MARS-seq" "GSE72857" "CMP"
"268" "MARS-seq" "GSE72857" "GMP"
"269" "MARS-seq" "GSE72857" "MEP"
"270" "MARS-seq" "GSE72857" "CMP"
"271" "MARS-seq" "GSE72857" "MEP"
"272" "MARS-seq" "GSE72857" "MEP"
"273" "MARS-seq" "GSE72857" "MEP"
"274" "MARS-seq" "GSE72857" "GMP"
"275" "MARS-seq" "GSE72857" "GMP"
